Calories,Date,Minutes Exercised,Steps
1924,"September 1, 2021",167,15774
878,"September 2, 2021",86,14166
2135,"September 2, 2021",223,19176
593,"September 4, 2021",55,8970
843,"September 5, 2021",92,7000
355,"September 6, 2021",5,3769
1451,"September 7, 2021",121,14398
1483,"September 8, 2021",2483,19739
572,"September 9, 2021",53,9136
910,"September 10, 2021",80,6709
605,"September 11, 2021",49,9102
855,"September 12, 2021",79,11056
1156,"September 13, 2021",132,15865
647,"September 14, 2021",67,10496
631,"September 15, 2021",62,8972
591,"September 16, 2021",57,8575
788,"September 17, 2021",84,6592
528,"September 18, 2021",31,8064
1773,"September 19, 2021",141,15789
549,"September 20, 2021",49,8311
626,"September 21, 2021",70,5579
879,"September 22, 2021",85,13115
532,"September 23, 2021",48,8193
534,"September 24, 2021",50,7429
943,"September 25, 2021",95,11271
733,"September 26, 2021",50,4833
415,"September 27, 2021",32,4914
565,"September 28, 2021",51,8376
739,"September 29, 2021",69,9979
896,"September 30, 2021",83,8106
