,Year,Position,Venue,Name,Team,Q3
5749,2020,1,austria,Valtteri Bottas,Mercedes,1:02.939
5750,2020,2,austria,Lewis Hamilton,Mercedes,1:02.951
5769,2020,1,austria,Lewis Hamilton,Mercedes,1:19.273
5772,2020,4,austria,Valtteri Bottas,Mercedes,1:20.701
5789,2020,1,hungary,Lewis Hamilton,Mercedes,1:13.447
5790,2020,2,hungary,Valtteri Bottas,Mercedes,1:13.554
5809,2020,1,great-britain,Lewis Hamilton,Mercedes,1:24.303
5810,2020,2,great-britain,Valtteri Bottas,Mercedes,1:24.616
5829,2020,1,great-britain,Valtteri Bottas,Mercedes,1:25.154
5830,2020,2,great-britain,Lewis Hamilton,Mercedes,1:25.217
5849,2020,1,spain,Lewis Hamilton,Mercedes,1:15.584
5850,2020,2,spain,Valtteri Bottas,Mercedes,1:15.643
5869,2020,1,belgium,Lewis Hamilton,Mercedes,1:41.252
5870,2020,2,belgium,Valtteri Bottas,Mercedes,1:41.763
5889,2020,1,italy,Lewis Hamilton,Mercedes,1:18.887
5890,2020,2,italy,Valtteri Bottas,Mercedes,1:18.956
5909,2020,1,italy,Lewis Hamilton,Mercedes,1:15.144
5910,2020,2,italy,Valtteri Bottas,Mercedes,1:15.203
5929,2020,1,russia,Lewis Hamilton,Mercedes,1:31.304
5931,2020,3,russia,Valtteri Bottas,Mercedes,1:31.956
5949,2020,1,germany,Valtteri Bottas,Mercedes,1:25.269
5950,2020,2,germany,Lewis Hamilton,Mercedes,1:25.525
5969,2020,1,portugal,Lewis Hamilton,Mercedes,1:16.652
5970,2020,2,portugal,Valtteri Bottas,Mercedes,1:16.754
5989,2020,1,italy,Valtteri Bottas,Mercedes,1:13.609
5990,2020,2,italy,Lewis Hamilton,Mercedes,1:13.706
6014,2020,6,turkey,Lewis Hamilton,Mercedes,1:52.560
6017,2020,9,turkey,Valtteri Bottas,Mercedes,1:53.258
6029,2020,1,bahrain,Lewis Hamilton,Mercedes,1:27.264
6030,2020,2,bahrain,Valtteri Bottas,Mercedes,1:27.553
6049,2020,1,bahrain,Valtteri Bottas,Mercedes,53.377
6050,2020,2,bahrain,George Russell,Mercedes,53.403
6070,2020,2,abu-dhabi,Valtteri Bottas,Mercedes,1:35.271
6071,2020,3,abu-dhabi,Lewis Hamilton,Mercedes,1:35.332
